Rank,NCTId,BriefTitle,Condition,EligibilityCriteria,DetailedDescription,Keyword,OverallStatus,LocationCity,StartDate,SeeAlsoLinkURL
985,NCT00604279,A Comparative Study of Paliperidone Palmitate and Risperidone Long Acting Injection (LAI) in Participants With Schizophrenia,Schizophrenia,"Inclusion Criteria:||Participants who meet diagnostic criteria for schizophrenia according to Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) (disorganized type [295.10], catatonic type [295.20], paranoid type [295.30], residual type [295.60], or undifferentiated type [295.90]) for at least 1 year before screening and prior medical records, written documentation, or verbal information obtained from previous psychiatric providers obtained by the investigator must be consistent with the diagnosis of schizophrenia|A total Positive and Negative Syndrome Scale (PANSS) score between 60 and 120, inclusive, at screening and baseline|Body mass index (BMI) of equal to or greater than 17.0 kilogram per meter square (kg/m^2)|Female participants must be postmenopausal for at least 2 years, surgically sterile, abstinent, or, if sexually active, be practicing an effective method of birth control before study entry and throughout the study|Be capable of self-administering study medication (applies to oral supplementation) or have assistance with study medication administration consistently available throughout the first 4 weeks of the study Exclusion Criteria:|A primary, active DSM-IV diagnosis on Axis I other than schizophrenia|A decrease of at least 25 percent in the total PANSS score between screening and baseline|Participants who have previously participated in this study|A DSM-IV diagnosis of active substance dependence within 3 months before screening (nicotine and caffeine are not exclusionary)|History of treatment resistance as defined by failure to respond to 2 adequate treatments with different antipsychotic medications (an adequate treatment is defined as a minimum of 6 weeks at maximum tolerated dosage)","This is a randomized (assigned by chance), open-label (all people know the identity of the intervention), active-controlled, parallel-group (a medical research study comparing the response in two or more groups of participants receiving different treatments), multicenter (when more than one hospital or medical school team work on a medical research study) comparative study in participants with schizophrenia. This study comprises a screening period of not more than 7 days and a 13-week open-label treatment period. Paliperidone palmitate will be administered as intramuscular injection (injection of a substance into a muscle) of 150 milligram equivalent (mg eq.) at baseline, 100 mg eq. at Day 8, flexible dose on Day 36 (50 or 100 mg eq.) and on Day 64 (50, 100 or 150 mg eq.) depending on investigator's discretion. Risperidone LAI will be administered at a dose of 25 mg at Day 8 and Day 22, flexible dose on Day 36 (25 or 37.5 mg) and Day 64 (25, 37.5, or 50 mg). Dose on Day 50 is the same as Day 36 and dose on Day 78 is the same as Day 64. Participants will receive oral risperidone tablets (1 to 6 mg/day) for the first 4 weeks of the open-label treatment period. Each participant may receive oral risperidone tablets (1 to 2 mg daily) for up to 3 weeks at Day 36 and Day 64 if the dose of risperidone LAI was increased on Day 36 and Day 64. Efficacy will primarily be assessed using the Positive and Negative Syndrome Scale (PANSS). Participants' safety will also be assessed.",Schizophrenia|Paliperidone|Paliperidone palmitate|Risperidone|Risperidone long acting injection|R092670,Completed,Baoding|Beijing|Guangzhou|Hangzhou|Nanjing|Shanghai|Wuhan|Xian,January 2008,0
986,NCT00334126,Evaluation of Effectiveness and Safety of Paliperidone ER (Extended-release) Compared With Quetiapine in Patients With Schizophrenia,Schizophrenia,"Inclusion Criteria:||Diagnostic and Statistical Manual - Fourth Edition (DSM-IV) diagnosis of schizophrenia (paranoid, disorganized or undifferentiated type)|score of >=4 on at least two of a subset of selected PANSS items and a total score on these five items of >=17|score of >=5 on the CGI-S (clinical global impression - severity)|body weight of at least 60kg and willing to be hospitalized for 9 days initially||Exclusion Criteria:||A primary active mental illness diagnosis other than schizophrenia|subjects whose psychotic symptoms can be explained by substance intake or medical illness|pregnancy, breast-feeding, or planning to become pregnant|a history of treatment resistance (defined by failure to respond to 2 adequate trials of different antipsychotic medications or clozapine given at adequate dose for sufficient time)|unstable or significant medical illness that would increase risk of taking study medication or would confuse the interpretation of the study","This is a randomized (patients are assigned different treatments based on chance), double blind (neither the patient nor the physician knows whether drug or placebo is being taken, or at what dosage), placebo controlled, parallel group study to compare the efficacy and safety of paliperidone ER with quetiapine in the treatment of patients who have schizophrenia and are acutely ill. The duration of the study is 42 days. During the first phase (Day 0 - Day 14) patients receive increasing doses of the treatment to which they are assigned (starting with 3mg and increasing to 9 mg or 12 mg of paliperidone ER; starting with 50 mg and increasing to 600 mg or 800 mg of quetiapine; or the same number of capsules of placebo). During the second phase (Day 15 - Day 42), patients continue to take the dose of medication they received on day 14, but may also receive other medications if the investigator determines they are needed to treat ongoing symptoms. The hypothesis of the study is that paliperidone ER is better than quetiapine in the short term for treating acutely ill patients with schizophrenia. Primary outcome is change on the total score of the PANSS (Positive and Negative Syndrome scale for Schizophrenia) in the first phase of the study (Day 0 - Day 14). Secondary outcomes include time to response, time to readiness for discharge, and additional medication use in the second phase of the study (Day 15- Day 42) for patients receiving paliperidone ER compared to quetiapine. Safety of paliperidone ER compared with quetiapine throughout the study (Day 0 - Day 42) will be based on reported adverse events, results of laboratory tests (hematology, biochemistry, and urinalysis), vital signs (blood pressure, pulse, and weight), electrocardiogram, and movement disorder scales (Abnormal Involuntary Movement Scale, Barnes Akathisia Scale, and Simpson-Angus Rating Scale). Patients may participate in a pharmacogenomic (DNA) analysis, if they choose to do so. Patients receive study drug by mouth for a total of 42 days. Study medications will be increased to maximum tolerated doses of Paliperidone ER 9mg or 12mg/day and Quetiapine 600mg or 800mg at day 8. From day 15 through day 42 (end of study) all patients will be eligible for additional psychotropic medications at investigators' discretion.",Schizophrenia|Antipsychotic|paliperidone|quetiapine|Seroquel|placebo,Completed,0,April 2006,http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=715&filename=CR010501_CSR.pdf
987,NCT01527305,A Study to Evaluate the Effectiveness and Safety of Paliperidone Palmitate in Subjects With Acute Schizophrenia,Schizophrenia,"Inclusion Criteria:||Have a current diagnosis of schizophrenia as defined by Diagnostic and Statistical Manual of Mental Disorders Version IV (DSM-IV)|Must be admitted to a hospital within 4 weeks prior to Screening experiencing an acute exacerbation of schizophrenia|Have a positive and negative syndrome scale (PANSS) total score of more than or equal to 60 or clinical global impressions - severity (CGI-S) score of more than or equal to 4 (moderately ill) at Screening|Agree to protocol-defined method of contraception|Must be medically stable based on physical examination, medical history, vital signs, and clinical laboratory tests performed at Screening||Exclusion Criteria:||Have a primary active DSM-IV Axis I diagnosis other than schizophrenia|Have evidence of clinically significant cardiovascular, renal, hepatic, gastrointestinal, neurological, endocrine, metabolic or pulmonary disease in medical history, clinical laboratory or physical examination|Have a history of neuroleptic malignant syndrome|Participants at risk of suicide|Have received clozapine within 1 month prior to Screening","This is an open-label (all people know the identity of the intervention), prospective (looking forward using periodic observations collected predominantly following participant enrollment), non-comparative and multicenter study to evaluate the effectiveness and safety of paliperidone palmitate in acute schizophrenic participants. This study consists of a screening phase (up to 7 days), treatment phase (13 weeks), and a study completion or early withdrawal visit. Safety evaluations will include adverse events, clinical laboratory tests, concomitant medications, physical examination, and vital signs, which will be monitored throughout the study. The total duration of study participation for each participant will be approximately 13 weeks.",Schizophrenia|Antipsychotics|Paliperidone Palmitate|Paliperidone|Invega|Sustenna|Psychotic disorder|Psychosis,Completed,"Huzhou|Shanghai|Shantou|Suzhou|Wenzhou|Wuxi|Busan|Goyang|Gyeonggi-Do|Jeonju-Si|Kyounggi|Seoul|Suwon|Johor Bahru|Kuala Lumpur|Tanjong Rambutan|Douliou City, Yunlin County|Kaohsiung City|Kaohsiung|New Taipei City|Taichung|Taipei",June 2012,http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=3404&filename=CR100739_CSR.pdf
988,NCT01959659,A Non-Interventional Study of Patients With Persistent Symptoms of Schizophrenia to Describe Medical Resource Utilization and Burden of Illness,Schizophrenia,"Inclusion Criteria:||Adult patients, >/= 18 years of age|Patients who have a clinical diagnosis of schizophrenia as documented in their medical records|Patients who, in the opinion of the investigator, have had on-going, persistent symptoms of schizophrenia for at least the last 3 months prior to enrolment|Patients who, in the opinion of the investigator, have been prescribed adequate doses of antipsychotic treatment for at least the last 3 months|Patient has adequate spoken local language||Exclusion Criteria:||Acute exacerbation of schizophrenia within the last 3 months prior to enrolment|Enrolment in an interventional study",0,0,Completed,"Epping|Everton Park|Brno, Jihormoravsky Kraj|Brno|Hradec Kralove|Olomouc|Plzen|Praha 10|Praha 10|Praha 2|Praha 8 - Bohnice|Praha|Praha|Prerov|Bohars|Bron|Brumath|Colombes|Digne Les Bains|Fitz James|Henin Beaumont|Leyme|Lille|Montauban|Montpellier|Neuilly Sur Marne|Novillars|Paris|Poitiers|Pontarlier|Provins|Reims|Rennes|Saint Egreve|Saint Nazaire|Sens|Verdun|Chieti|L'Aquila|Roggiano Gravina|Salerno|Solofra|Bologna|Modena|Roma|Roma|Roma|Genova|Bergamo|Brescia|Legnago|Monza|Pieve Di Coriano|Varese|Campobasso|Novara|Foggia|Adrano|Lido Di Camaiore|Pisa|Siena|Aosta|Kemerovo|Lipetsk|Moscow Region|Moscow|Moscow|Moscow|Nizhny Novgorod|Petrozavodsk|Samara|St Petersburg|St Petersburg|Talagi|Langreo|Hospitalet de Llobregat|Santander|Torrelavega|Manacor|Coruña|Alcalá de Henares|Arganda del Rey|Majadahonda|Pamploma|Mos|Vigo|Dos Hermanas|Reus|Vitoria|Almeria|Barcelona|Barcelona|Madrid|Malaga|Toledo|Valencia|Valencia|Zaragoza|Ankara|Diyarbakir|Gaziantep|İstanbul|Istanbul|Kocaeli|Manisa|Mersin|Samsun",May 2013,0
989,NCT03466112,Aerobic Exercise for the Improvement of Cognition and Enhancement of Recovery in Post-acute Schizophrenia,Schizophrenia,"Inclusion Criteria:||Informed consent given by the subject; DSM-IV-TR diagnosis of schizophrenic psychosis (295.10-30, 295.90); age 18 to 65 years, male or female; PANSS at baseline: total score ≤ 75, proper contraception in female patients of childbearing potential; treatment with one or two antipsychotics in a stable dose of at least two weeks, body mass index between 18 and 40.||Exclusion Criteria:||Lack of accountability; positive urine drug-screening for illicit drugs at screening (except benzodiazepines); serious suicidal risk at screening visit; other relevant interferences of axis 1 according to diagnostic evaluation (MINI); other relevant neurological or other medical disorders; pregnancy or lactation.","This multi-center, two-arm, parallel-group, randomized placebo-controlled add-on clinical trial investigates the efficacy of aerobic exercise on cognitive performance and brain plasticity in schizophrenia. The aim is the enhancement of recovery with the use of 26 weeks of continuos endurance training (aerobic exercise) with stationary bicycles or a balance and tone program consisting of exercises for flexibility, core strength, balance and relaxation. Followed by a follow-up period of 26 weeks.",exercise,Completed,Munich,June 2016,0
993,NCT00265382,Safety And Tolerability Of Ziprasidone In Adolescents With Schizophrenia,Schizophrenia,"Inclusion Criteria:||Participation in double-blind treatment study A1281134, meeting specific criteria of duration and safety||Exclusion Criteria:||Imminent risk of suicide or homicide, as judged by the site investigator|Serious adverse event related to study medication in study A1281134|Significant prolongation of QT interval in study A1281134","On March 24, 2009, Pfizer Inc. stopped late stage Geodon pediatric clinical trials in schizophrenia (A1281134 - placebo controlled; A1281135 - open label). As recommended by the DSMB, these studies were stopped due to lack of efficacy. No safety concerns were identified.",Adolescent Subjects,Terminated,Birmingham|Birmingham|Birmingham|San Diego|Denver|Washington|Altamonte Springs|Orange City|Smyrna|Tucker|Des Plaines|Oakbrook Terrace|Schaumburg|Clinton Township|Bridgeton|Saint Louis|Buffalo|Rochester|Cincinnati|Cincinnati|Cincinnati|Cleveland|Oklahoma City|Oklahoma City|Bothell|Spokane|Bello|Bogota|San Jose|Vijaywada|Ahmedabad|Mangalore|Aurangabad|Mumbai|Pune|Pune|Ludhiana|Chennai|Kubang Kerian|Kuala Lumpur|Kuala Lumpur|Kuala Lumpur|Lima|Lima|Lipetsk Region|Kazan|Moscow|Moscow|Moscow|Moscow|Nizhniy Novgorod|Saratov|Saratov|Tver|Yaroslavl|Singapore|Singapore|Simferopol|Dnipropetrovsk|Dnipropetrovsk|Donetsk|Kharkiv|Kyiv|Lugansk|Lviv|Odess|Poltava|Vinnytsya,June 2006,https://trialinfoemail.pfizer.com/pages/landing.aspx?StudyID=A1281135&StudyName=Safety%20And%20Tolerability%20Of%20Ziprasidone%20In%20Adolescents%20With%20Schizophrenia
995,NCT02390271,How Reducing Anxiety in Schizophrenia,Schizophrenia,Inclusion Criteria:||diagnosis of remitted schizophrenia||Exclusion Criteria:||exacerbation of schizophrenic symptoms over the previous three months (hospitalization or increases in medication),"Ten subjects, five women and five men, all volunteers, were included in the study. The patients were all clients of the rehabilitation center for psychotic disorders (Le Vinatier hospital) situated in Lyon, France. Criteria for entry into the study included: a Diagnostic and Statistical Manual of Mental Disorder-4 diagnosis of schizophrenia as confirmed by the Mini International Neuropsychiatric Interview for DSM-IV (MINI); age between 18 and 65; being clinically stable (i.e. not having required hospitalization or increases in medication as a result of an exacerbation of acute symptoms over the previous three months.||All subjects completed a set of ""paper and pencil"" standardized assessments at pre-intervention and immediately after the end of the intervention.||Trait and State anxiety was assessed using the French version of the Spielberger State-Trait-Anxiety Inventory (S-STAI).||Three questionnaires were used in order to evaluate the outcomes quality of life of patients. 1/ The Positive And Negative Syndrome Scale (PANSS); 2/ Patient's body/mind perceptions were assessed using mindfulness concept (Freiburg Mindfulness Inventory, FMI), and 3/ Patients' quality of life was evaluated using the Warwick-Edinburgh Mental Well-Being Scale (WEMWBS).||One questionnaire was used to assess how patients deal with stress and stressors (the Derogatis Stress Profile, DSP).",0,Completed,0,June 2010,0
996,NCT01150448,A Safety and Pharmacokinetic Study of Paliperidone Palmitate in Patients With Schizophrenia,Schizophrenia,"Inclusion Criteria:||Meet the diagnostic criteria for schizophrenia according to the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) for at least 1 year before screening|Have a body mass index (BMI) of >=17.0 kg/m2 at screening|Have a Positive and Negative Syndrome Scale (PANSS) total score of <=70||Exclusion Criteria:||Have a primary active DSM-IV Axis I diagnosis other than schizophrenia|Have a PANSS total score of >70 at screening|Have a PANSS score of >16 points on the sum of the following 4 items at screening and baseline: conceptual disorganization, suspiciousness/persecution, hallucinatory behavior, and unusual thought content|Have scores greater than 5 on any of the individual items of the PANSS at screening or baseline|Have attempted suicide within 12 months before screening or are at imminent risk of suicide or violent behavior as clinically assessed by the investigator","This is an open-label (identity and dose of study drug will be known to patients), safety and pharmacokinetic study of the highest dose (150 mg equivalent) of paliperidone palmitate (referred to as study drug) administered by intramuscular (IM) injection (injection into the muscle) in patients with schizophrenia. A total of at least 200 adult patients with schizophrenia will participate in the study. The study will consist of 2 phases: an up-to-21-day screening period and a 53-week open-label treatment period including an end of study/withdrawal visit. The total duration of the study will be approximately 56 weeks. At the screening visit, if a patient has been treated with an antipsychotic medication before study entry, the medication may be continued during the study except for protocol-specified medications that are not permitted. If patients have not received previous treatment with at least 2 oral (by mouth) doses of the antipsychotic agents risperidone or paliperidone or 1 dose of injectable RISPERDAL CONSTA or paliperidone palmitate, they will undergo a 4-day evaluation period and receive a 6 mg/day oral dose of an extended-release (ER) formulation of paliperidone to evaluate their ability to tolerate study drug. Patients who are able to tolerate study drug and meet all other entry criteria for the study will then be administered a single IM injection into the deltoid muscle (upper arm) of paliperidone palmitate 150 mg equivalent (eq) on Day 1 (Treatment A). Patients who tolerate Treatment A will receive a 2nd IM injection in the deltoid muscle of 150 mg eq on Day 8 followed by 150 mg eq administered by IM injection in the deltoid or gluteal (buttocks) muscle once every 4 weeks for the remainder of the 53-week treatment period. Patients who do not tolerate Treatment A or who do not wish to have multiple blood samples collected for pharmacokinetic testing will be assigned to Treatment B. Patients who do not tolerate Treatment A will receive a single IM injection of study drug 100 mg eq at their next scheduled visit followed by a flexible dose schedule of study drug ranging from 50 to 150 mg eq administered by IM injection in the deltoid or gluteal muscle every 4 weeks for the remainder of the 53-week treatment period. Blood samples for pharmacokinetics (ie, to test the concentration of study drug in the blood) will be collected at specified times before and after each dose of study drug from all patients; additional blood samples for pharmacokinetic testing will be collected from patients receiving Treatment A. An additional blood sample may also be collected at any time during screening or before the first day of IM administration of study drug for patients who agree to participate in an optional part of the study called a pharmacogenomic evaluation (genetic testing) for possible use in characterizing the safety and/or efficacy of study drug in relation to the pharmacogenic (genetic) profile of the patient. Periodically during the study, patients will be assessed for the presence of psychiatric symptoms and severity of symptoms. The safety and tolerability of paliperidone will be evaluated by monitoring adverse events (side effects) and relevant changes in laboratory values, electrocardiogram (ECG), vital signs measurements, physical examinations, and extrapyramidal symptoms (ie, symptoms that can be associated with taking antipsychotic drugs) scores reported from the time of screening to the end of the study (Day 372 or at the time of the patient's early termination from the study). The concentration of paliperidone in plasma (colorless portion of blood) from blood samples collected from Day 1 through to the end of the study will also be determined. Since only limited information exists regarding the repeated administration of doses of paliperidone palmitate, an internal review board will meet 2 times during the study to review safety data collected. The first review of safety data will be performed after approximately 30 patients complete 99 days of treatment and the second review of safety data will be made after approximately 75 patients complete 176 days of treatment. After each review of safety data, the safety review board will make a recommendation to continue the study, modify the protocol, or to terminate the study. Patients will receive 1 injection in the deltoid muscle of Treatment (Tx) A (study drug 150mg eq) on Day 1. Patients will then receive 1 injection in the deltoid muscle of Tx A on Day 8 followed by 1 injection every 4 weeks in the deltoid or gluteal muscle OR patients will be assigned to Txt B and receive 1 injection in the deltoid or gluteal muscle of study drug 100mg eq at next visit followed by 1 injection every 4 weeks of study drug 50 to 150mg eq in the deltoid or gluteal muscle.",Paliperidone palmitate|paliperidone ER (INVEGA)|R092670PSY1008|Risperidone|Risperdal (RISPERDAL CONSTA)|Pharmacokinetics,Completed,Cerritos|National City|San Diego|Atlanta|Philadelphia|Aalst|Zagreb|Gwangju|Incheon|Seoul|Kuala Lumpur|Leszno N/A|Lubliniec|Poznan|Torun N/A|Bratislava|Michalovce|Rimavska Sobota|Badalona|Barcelona|Madrid|Hua Lian|Kaohsiung|Tainan|Taipei|Tao-Yuan|Bangkok|Chiang Mai,September 2007,http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=759&filename=CR013300_CSR.pdf|http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=759&filename=CR013300_JNL1.pdf
997,NCT04506905,"Safety, Tolerability, and Pharmacokinetics Study of MK-8189 in Participants With Schizophrenia and Healthy Participants (MK-8189-011)",Schizophrenia,"Inclusion Criteria:||Has a body mass index (BMI) ≤40 kg/m2|Has no clinically significant abnormality on 12-lead safety electrocardiogram (ECG) performed at the prestudy (screening) visit and/or prior to randomization|Has a normal resting blood pressure (BP: systolic BP is ≥90 millimeter of mercury [mmHg] and ≤140 mmHg; diastolic BP is ≥60 mmHg and ≤90 mmHg) and normal resting heart rate (≥45 beats per minute [bpm] and ≤100 bpm) in the semirecumbent position at the prestudy (screening) visit and/or prior to randomization. Repeat evaluations may be done if the values for a participant are, per investigator discretion, minimally outside the designated range. Participants may be included if values are outside the normal range but considered not clinically significant per investigator discretion|Participants with schizophrenia only: Meets diagnostic criteria for schizophrenia or schizoaffective disorder according to the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5) criteria with the onset of the first episode being no less than 2 years prior to screening and monotherapy with antipsychotics for treatment should be indicated|Participants with schizophrenia only: Has a total Brief Psychiatric Rating Scale (BPRS) score of <48 with a BPRS score <4 for #10 (hostility) and #14 (uncooperativeness) at the screening visit|Participants with schizophrenia only: Is in the nonacute phase of their illness and clinically stable for 3 months prior to screening as demonstrated by the following: 1) no clinically significant change in dose of prescribed antipsychotic medication, or clinically significant change in antipsychotic medication to treat symptoms of schizophrenia for 2 months prior to screening 2) no increase in level of psychiatric care due to worsening of symptoms of schizophrenia for 3 months prior to screening|Participants with schizophrenia only: Has a history of receiving and tolerating antipsychotic medication within the usual dose range employed for schizophrenia|Participants with schizophrenia only: Has a stable living situation|Participants with hypothyroidism, diabetes, high BP, chronic respiratory conditions or other mild forms of these medical conditions could be considered as candidates for study enrollment if their condition is stable|Has regular bowel movements|Participants with schizophrenia only: Is able to discontinue the use of all antipsychotic medication at least 5 days prior to the start of the treatment period and during the study period|Female participants are not pregnant and not breastfeeding, and are not a woman of childbearing potential (WOCBP) or are a WOCBP who agrees to follow contraceptive guidance during the treatment period and for at least 14 days after the last dose of study intervention||Exclusion Criteria:||Is a WOCBP who has a positive urine pregnancy test within 48 hours before the first dose of study intervention|Participants with schizophrenia only: Has evidence or history of a primary DSM-5 axis I psychiatric diagnosis other than schizophrenia or schizoaffective disorder per the allowed DSM-5 criteria within 1 month of screening|Has evidence or history of a primary DSM-5 axis I psychiatric diagnosis other than schizophrenia or schizoaffective disorder per the allowed DSM-5 criteria within 1 month of screening|Has evidence or history of mental retardation, borderline personality disorder, anxiety disorder, or organic brain syndrome|Has a history of neuroleptic malignant syndrome or moderate to severe tardive dyskinesia|Has a substance-induced psychotic disorder or behavioral disturbance thought to be due to substance abuse|Has a DSM-5 defined substance use disorder within 3 months of screening|Has a history of seizure disorder beyond childhood or is receiving treatment with any anticonvulsant to prevent seizures|Has an untreated or uncompensated clinically significant renal, endocrine, hepatic, respiratory, gastrointestinal, psychiatric, neurologic, cardiovascular, hematological, immunological or cerebrovascular disease, malignancy, allergic disease or other chronic and/or degenerative process at screening|Has any clinically significant abnormal laboratory, vital sign (VS), physical examination, or 12-lead safety ECG findings at screening or changes from baseline parameters or, in the opinion of the investigator, would make the participant inappropriate for entry into this study|Has a history of cancer with following exceptions: 1) Adequately treated nonmelanomatous skin carcinoma or carcinoma in situ of the cervix or; 2) Other malignancies which have been successfully treated with appropriate follow up and therefore unlikely to recur for the duration of the study, in the opinion of the investigator and with agreement of the Sponsor|Has a clinically significant history or presence of sick sinus syndrome, first, second, or third-degree AV block, myocardial infarction, pulmonary congestion, cardiac arrhythmia, prolonged corrected QT (QTc) interval, or conduction abnormalities|Has history of repeated or frequent syncope, vasovagal episodes, or epileptic seizures|Has a family history of sudden death|Has a history of any illness that, in the opinion of the study investigator, might confound the results of the study or poses an additional risk to the participant by their participation in the study|For Part 2 participants only: Participant has an estimated glomerular filtration rate (eGFR) <60 mL/min/1.73 m2 based on the modification of diet in renal disease (MDRD). Participants who have an eGFR or measured creatinine clearance of up to10% below of either 60 milliliter/minute [mL/min] (for creatinine clearance) or 60 mL/min/1.73m2 (for eGFR) may be enrolled in the study at the discretion of the investigator|Has a history of significant multiple and/or severe allergies or has had an anaphylactic reaction or significant intolerability to prescription or non-prescription drugs or food|Is positive for Hepatitis B surface antigen, Hepatitis C antibodies or HIV|Had major surgery, donated or lost 1 unit of blood within 4 weeks prior to the prestudy (screening) visit|Healthy participants only: Is mentally or legally incapacitated, has significant emotional problems at the time of prestudy (screening) visit or expected during the conduct of the study or has a history of clinically significant psychiatric disorder of the last 5 years (participants who have had situational depression may be enrolled in the study at investigator's discretion)|Participants with schizophrenia only: Is at imminent risk of self-harm, based on clinical interview and responses on the Columbia-Suicide Severity Rating Scale (C-SSRS), or of harm to others in the opinion of the investigator|Healthy participants only: Is at imminent risk of self-harm, based on clinical interview and responses on the CSSRS, or of harm to others in the opinion of the investigator. Participants must be excluded if they report suicidal ideation with intent, with or without a plan or in the past 5 years or suicidal behavior in their lifetime|Has received treatment with clozapine for schizophrenia or treatment with monoamine oxidase inhibitors within 3 months of screening or cariprazine within 2 months of screening|Has received a parenteral depot antipsychotic medication within 3 months of screening|Is unable to refrain from the use of co-medication with a moderate or strong inhibiting or inducing effect on cytochrome (CYP3A) and/or cytochrome (CYP2C9) beginning approximately 2 weeks or 5 half-lives, whichever is longer, prior to administration of the initial dose of trial drug and throughout the trial or is unable to refrain from the use of sensitive substrates of cytochrome (CYP2B6)|Has participated in another investigational study within 4 weeks (or 5 half-lives, whichever is greater) prior to the prestudy (screening) visit|Has been in incarceration or imprisonment within three months prior to screening|Is a current smoker (healthy participants only) or is a smoker (participants with schizophrenia only) that does not agree to follow the smoking restrictions as defined by the clinical research unit (CRU)|Consumes greater than 3 glasses of alcoholic beverages per day. Participants who consume 4 glasses of alcoholic beverages per day may be enrolled at the discretion of the investigator|Consumes excessive amounts, defined as greater than 6 servings of caffeinated beverages per day|Is a regular user of cannabis, any illicit drugs or has a history of drug abuse within approximately 3 years|Presents any concern by the investigator regarding safe participation in the study or for any other reason the investigator considers the participant inappropriate for participation in the study|Is or has an immediate family member who is investigational site or Sponsor staff directly involved with this study",0,0,Completed,Rogers|Glendale|Long Beach|Hallandale Beach|Oakland Park|Berlin,"August 28, 2020",0
999,NCT05654870,"Study to Evaluate the Efficacy, Safety, and Tolerability of Valbenazine as an Adjunctive Treatment for Schizophrenia",Schizophrenia,"Key Inclusion Criteria:||Medically confirmed diagnosis of schizophrenia|Participant is receiving a stable regimen of background antipsychotic medication|Plasma levels for at least 1 of the participant's antipsychotic medications must be detectable by an available assay|Participant is an outpatient with stable symptomatology|Participant must have an adult informant (for example, a family member, relative, partner, social worker, caseworker, residential facility staff, or nurse)||Key Exclusion Criteria:||Has a history of treatment resistant schizophrenia|Have a clinically significant unstable medical condition in the judgement of the investigator or any laboratory value outside the normal range that is considered by the investigator to be clinically significant at the screening visit|Prior (within 6 months of Screening) or concomitant use of any vesicular monoamine transporter 2 (VMAT2) inhibitor (that is, valbenazine, reserpine, tetrabenazine, deutetrabenazine); or a history of intolerance to VMAT2 inhibitors",0,schizophrenia|valbenazine|antipsychotic|VMAT2|NBI-98854|dopamine|PANSS|Adjunctive,Recruiting,Bryant|San Jose|Bonita Springs|Coral Gables|Miami|Miami|Orange City|Tampa|Atlanta|Chicago|Buffalo|Cincinnati|San Juan,"January 5, 2023",https://journeyresearchstudies.com/
